R,G,B,cor
21811,18220,16810,3
21269,18220,16206,3
23550,16532,16690,3
20992,19572,16002,3
23763,17274,15563,3
20540,18901,16526,3
22239,18404,17210,3
24906,18825,17742,3
20712,18970,15881,3
24995,18149,17682,3
20929,5591,17690,3
22562,17855,13860,3
25055,14478,15667,3
23250,18816,16506,3
4640,17817,13543,3
21377,16730,17690,3
13131,15285,13070,3
12524,15941,16396,3
13054,16584,16804,3
24428,18550,15022,3
21323,19346,16107,3
24456,14393,15947,3
20733,18180,18086,3
22453,19108,16697,3
22708,17447,17454,3
22635,18961,17056,3
22782,18355,16526,3
21312,18567,17742,3
